# Goxel 0.8.0
# One line per voxel
# X Y Z RRGGBB
28 26 0 6abe30
29 26 0 6abe30
30 26 0 6abe30
31 26 0 6abe30
32 26 0 6abe30
33 26 0 6abe30
34 26 0 6abe30
35 26 0 6abe30
36 26 0 6abe30
37 26 0 6abe30
38 26 0 6abe30
39 26 0 6abe30
40 26 0 6abe30
41 26 0 6abe30
42 26 0 6abe30
43 26 0 6abe30
44 26 0 6abe30
45 26 0 6abe30
46 26 0 6abe30
47 26 0 6abe30
-48 32 0 6abe30
-47 32 0 6abe30
-46 32 0 6abe30
-45 32 0 6abe30
-44 32 0 6abe30
-44 33 0 6abe30
-44 34 0 6abe30
-44 35 0 6abe30
-44 36 0 6abe30
-44 37 0 6abe30
-44 38 0 6abe30
-44 39 0 6abe30
-44 40 0 6abe30
-44 41 0 6abe30
-44 42 0 6abe30
-44 43 0 6abe30
-44 44 0 6abe30
-43 44 0 6abe30
-42 44 0 6abe30
-41 44 0 6abe30
-40 44 0 6abe30
-39 44 0 6abe30
-38 44 0 6abe30
-37 44 0 6abe30
-36 44 0 6abe30
-35 44 0 6abe30
-34 44 0 6abe30
-33 44 0 6abe30
-83 32 0 6abe30
-82 32 0 6abe30
-81 32 0 6abe30
-80 32 0 6abe30
-79 32 0 6abe30
-78 32 0 6abe30
-77 32 0 6abe30
-76 32 0 6abe30
-75 32 0 6abe30
-74 32 0 6abe30
-73 32 0 6abe30
-72 32 0 6abe30
-71 32 0 6abe30
-70 32 0 6abe30
-69 32 0 6abe30
-68 32 0 6abe30
-67 32 0 6abe30
-66 32 0 6abe30
-65 32 0 6abe30
-64 32 0 6abe30
-63 32 0 6abe30
-62 32 0 6abe30
-61 32 0 6abe30
-60 32 0 6abe30
-59 32 0 6abe30
-58 32 0 6abe30
-57 32 0 6abe30
-56 32 0 6abe30
-55 32 0 6abe30
-54 32 0 6abe30
-53 32 0 6abe30
-52 32 0 6abe30
-51 32 0 6abe30
-50 32 0 6abe30
-49 32 0 6abe30
-83 -16 0 6abe30
-83 -15 0 6abe30
-83 -14 0 6abe30
-83 -13 0 6abe30
-83 -12 0 6abe30
-83 -11 0 6abe30
-83 -10 0 6abe30
-83 -9 0 6abe30
-83 -8 0 6abe30
-83 -7 0 6abe30
-83 -6 0 6abe30
-83 -5 0 6abe30
-83 -4 0 6abe30
-83 -3 0 6abe30
-83 -2 0 6abe30
-83 -1 0 6abe30
-83 0 0 6abe30
-83 1 0 6abe30
-83 2 0 6abe30
-83 3 0 6abe30
-83 4 0 6abe30
-83 5 0 6abe30
-83 6 0 6abe30
-83 7 0 6abe30
-83 8 0 6abe30
-83 9 0 6abe30
-83 10 0 6abe30
-82 10 0 6abe30
-81 10 0 6abe30
-83 11 0 6abe30
-83 12 0 6abe30
-83 13 0 6abe30
-83 14 0 6abe30
-83 15 0 6abe30
-83 16 0 6abe30
-83 17 0 6abe30
-83 18 0 6abe30
-83 19 0 6abe30
-83 20 0 6abe30
-83 21 0 6abe30
-83 22 0 6abe30
-83 23 0 6abe30
-83 24 0 6abe30
-83 25 0 6abe30
-83 26 0 6abe30
-83 27 0 6abe30
-83 28 0 6abe30
-83 29 0 6abe30
-83 30 0 6abe30
-83 31 0 6abe30
