# Goxel 0.8.0
# One line per voxel
# X Y Z RRGGBB
28 8 0 df7126
20 9 0 df7126
28 9 0 df7126
20 10 0 df7126
28 10 0 df7126
-9 16 0 df7126
-9 17 0 df7126
-9 18 0 df7126
-9 19 0 df7126
-9 20 0 df7126
-9 21 0 df7126
-9 22 0 df7126
-13 23 0 df7126
-12 23 0 df7126
-11 23 0 df7126
-10 23 0 df7126
-9 23 0 df7126
-9 24 0 df7126
-9 25 0 df7126
-9 26 0 df7126
-4 26 0 df7126
-3 26 0 df7126
-2 26 0 df7126
-1 26 0 df7126
-9 27 0 df7126
-4 27 0 df7126
-9 28 0 df7126
-4 28 0 df7126
-13 29 0 df7126
-12 29 0 df7126
-11 29 0 df7126
-10 29 0 df7126
-9 29 0 df7126
-8 29 0 df7126
-7 29 0 df7126
-6 29 0 df7126
-5 29 0 df7126
-4 29 0 df7126
-9 30 0 df7126
-9 31 0 df7126
-5 37 0 df7126
-4 37 0 df7126
-3 37 0 df7126
-2 37 0 df7126
-1 37 0 df7126
-16 44 0 6abe30
-15 44 0 6abe30
-14 44 0 6abe30
-13 44 0 6abe30
-12 44 0 6abe30
-11 44 0 6abe30
-10 44 0 6abe30
-9 44 0 6abe30
-8 44 0 6abe30
-7 44 0 6abe30
-6 44 0 6abe30
-5 44 0 6abe30
-4 44 0 6abe30
-3 44 0 6abe30
-2 44 0 6abe30
-1 44 0 6abe30
-30 32 0 df7126
-30 33 0 df7126
-30 34 0 df7126
-30 35 0 df7126
-30 36 0 df7126
-30 37 0 df7126
-32 44 0 6abe30
-31 44 0 6abe30
-30 44 0 6abe30
-29 44 0 6abe30
-28 44 0 6abe30
-27 44 0 6abe30
-26 44 0 6abe30
-25 44 0 6abe30
-24 44 0 6abe30
-23 44 0 6abe30
-22 44 0 6abe30
-21 44 0 6abe30
-20 44 0 6abe30
-19 44 0 6abe30
-18 44 0 6abe30
-17 44 0 6abe30
-30 16 0 df7126
-30 17 0 df7126
-30 18 0 df7126
-22 18 0 df7126
-30 19 0 df7126
-22 19 0 df7126
-30 20 0 df7126
-22 20 0 df7126
-30 21 0 df7126
-22 21 0 df7126
-30 22 0 df7126
-22 22 0 df7126
-32 23 0 6abe30
-31 23 0 df7126
-30 23 0 df7126
-29 23 0 df7126
-28 23 0 df7126
-27 23 0 df7126
-26 23 0 df7126
-25 23 0 df7126
-24 23 0 df7126
-23 23 0 df7126
-22 23 0 df7126
-30 24 0 df7126
-22 24 0 df7126
-30 25 0 df7126
-22 25 0 df7126
-30 26 0 df7126
-22 26 0 df7126
-30 27 0 df7126
-22 27 0 df7126
-30 28 0 df7126
-22 28 0 df7126
-30 29 0 df7126
-22 29 0 df7126
-32 30 0 df7126
-31 30 0 df7126
-30 30 0 df7126
-30 31 0 df7126
0 16 0 df7126
